Year,GDP,GDP_per_capita,Inflation,Adjusted_Net_National_Income
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,63279974.69,106.5663896,0,0
1966,67759972.9,111.5320735,0,0
1967,107151832.5,172.2581956,0,0
1968,188879848.9,296.3383621,0,0
1969,239999808,367.2007014,0,0
1970,256319794.9,382.1715672,0,111437081.9
1971,301010587.1,437.0053369,0,135022197.4
1972,366883548.3,518.164168,0,151010982.6
1973,483066990.6,663.009854,0,85727206.69
1974,1645917776,2180.95948,0,515448590.6
1975,2096699189,2663.510125,0,786435106.7
1976,2560220035,3106.757752,0,1132213225
1977,2741169948,3164.870097,0,1385651714
1978,2740301390,3002.247483,0,1521606918
1979,3733352635,3875.381491,0,1352431975
1980,5981760278,5879.099443,0,3156186537
1981,7259120151,6748.752492,0,4343028707
1982,7554719456,6636.838108,0,5121982474
1983,7932541691,6585.06598,0,5047005348
1984,8821443151,6927.983651,0,5766206417
1985,10005645420,7393.576258,0,6266889241
1986,7324167369,5074.084773,0,4930149998
1987,7811183095,5094.191151,0,4661733363
1988,8386215865,5165.729577,0,4980783018
1989,9372171651,5468.528327,0,5110163542
1990,11685045514,6475.41707,0,5985148340
1991,11341482445,5984.360617,0,7167675878
1992,12452275683,6272.469437,0,7767107025
1993,12493107932,6029.876388,0,7785872888
1994,12918855657,6054.743884,0,8254245482
1995,13802600780,6352.823059,0,8698172971
1996,15277763329,6913.146462,0,9057062661
1997,15837451235,7052.69677,0,9810956848
1998,13996914694,6139.732825,0,9283102957
1999,15593456177,6742.824603,0,9464851282
2000,19507452536,8321.393867,0,10270007363
2001,19452000520,8191.512832,-0.816666667,11190902294
2002,20142756047,8380.038952,-0.279578823,12482506717
2003,21633708192,8896.90253,0.231328682,13427563943
2004,24763712874,10030.44443,0.624969063,14731388307
2005,31081991678,12357.70139,1.909835535,17014254693
2006,37215779714,14533.72942,3.544985916,21321056768
2007,42085379454,16151.27584,5.830484181,24438381958
2008,60905452536,22974.27735,12.37540915,35464366278
2009,48388363589,17937.97957,3.468810238,26554113593
2010,64993498049,22552.19901,3.256579591,35677488139
2011,77497529259,24166.09631,4.042188671,38236352519
2012,87408842653,24722.63882,2.947734953,45465025430
2013,89936020806,23563.9406,1.053548203,48156584313
2014,92699089727,23121.20638,1.014014839,50531647043
2015,78710793238,18777.43306,0.065290133,51311067027
2016,75128738622,17082.2062,1.109208058,50684475111
2017,80856697009,17802.57512,1.589094136,53061502389
2018,91505851756,19887.57431,0.889312371,61210911185
2019,88060858257,19132.15227,0.490815363,59074357920
2020,75909397659,16707.62301,-0.406402919,54445023707
2021,88191977373,19509.46646,1.682211859,56515483862
2022,1.15E+11,25056.79486,2.506142506,56515483864
2023,1.08E+11,23295.32996,0.942793225,56515483865